zipcode,province,area
4225,Batangas,Rosario
4227,Batangas,San Jose
4226,Batangas,San Juan
4210,Batangas,San Luis
4207,Batangas,San Nicolas
4204,Batangas,San Pascual
4206,Batangas,Sta. Teresita
4234,Batangas,Sto. Tomas
4208,Batangas,Taal
4220,Batangas,Talisay
4232,Batangas,Tanauan
4228,Batangas,Taysan
4203,Batangas,Tingloy
4214,Batangas,Uy
4123,Cavite Province,Alfonso
4119,Cavite Province,Amadeo
4102,Cavite Province,Bacoor
4116,Cavite Province,Carmona
4100,Cavite Province,Cavite
4101,Cavite Province,Cavite Naval Base
4125,Cavite Province,Corregidor
4114,Cavite Province,Dasmarinas
4115,Cavite Province,Dasmarinas
4124,Cavite Province,Gen. Aguinaldo (Bailen)
4117,Cavite Province,Gen. Mariano Alvarez
4107,Cavite Province,Gen. Trias
4103,Cavite Province,Imus
4122,Cavite Province,Indang
4104,Cavite Province,Kawit
4113,Cavite Province,Magallanes
4112,Cavite Province,Maragondon
4121,Cavite Province,Mendez
4110,Cavite Province,Naic
4105,Cavite Province,Noveleta
4115,Cavite Province,Resettlement Area
4106,Cavite Province,Rosario
4118,Cavite Province,Silang
4120,Cavite Province,Tagaytay
4108,Cavite Province,Tanza
4111,Cavite Province,Ternate
4109,Cavite Province,Trece Martirez
4001,Laguna,Alaminos
4033,Laguna,Bay
4024,Laguna,Biñan
4006,Laguna,Botocan
4025,Laguna,Cabuyao
4027,Laguna,Calamba
4012,Laguna,Caluan
4029,Laguna,Camp Vicente Lim
4028,Laguna,Canlubang
4013,Laguna,Cavinti
4031,Laguna,College Los Baños
4021,Laguna,Famy
4015,Laguna,Kalayaan
4004,Laguna,Liliw
4030,Laguna,Los Baños
4032,Laguna,Luisiana
4014,Laguna,Lumban
4020,Laguna,Mabitac
4007,Laguna,Magdalena
4005,Laguna,Majayjay
4002,Laguna,Nagcarlan
4016,Laguna,Paete
4008,Laguna,Pagsanjan
4017,Laguna,Pakil
4018,Laguna,Pangil
4010,Laguna,Pila
4003,Laguna,Rizal
4000,Laguna,San Pablo
4023,Laguna,San Pedro
4019,Laguna,Siniloan
4009,Laguna,Sta. Cruz
4022,Laguna,Sta. maria
4026,Laguna,Sta. Rosa
4011,Laguna,Victoria
4302,Quezon,Agbangan
4333,Quezon,Alabat
4331,Quezon,Atimonan
4340,Quezon,Burdeos
4318,Quezon,Calauag
4323,Quezon,Candelaria
4311,Quezon,Catanuan
4326,Quezon,Dolores
4310,Quezon,General Luna
4338,Quezon,General Nakar
4319,Quezon,Guinayangan
4307,Quezon,Gumaca
4317,Quezon,Hondagua
4336,Quezon,Infanta
4342,Quezon,Jomalig
4316,Quezon,lopez
4328,Quezon,Lucban
4301,Quezon,Lucena
4309,Quezon,Macalelon
4330,Quezon,Mauban
4312,Quezon,Mulanay
4303,Quezon,Padre Burgos
4302,Quezon,Pagbilao
4337,Quezon,Panukulan
4341,Quezon,Patnanongan
4334,Quezon,Perez
4308,Quezon,Pitogo
4306,Quezon,Plaridel
4339,Quezon,Polilio
4332,Quezon,Quezon
4300,Quezon,Quezon Capitol
4335,Quezon,Real
4329,Quezon,Sampaloc
4314,Quezon,San andres
4324,Quezon,San antonio
4315,Quezon,San Francisco
4313,Quezon,San Narciso
4322,Quezon,Sariaya
4321,Quezon,Tagkawayan
4327,Quezon,Tayabas
4325,Quezon,Tiaong
4305,Quezon,Unisan
4320,Quezon,Vbuenavista
1930,Rizal,Angono
1870,Rizal,Antipolo
1970,Rizal,Baras
1940,Rizal,Binagonan
1900,Rizal,Cainta
1950,Rizal,Cardona
1990,Rizal,Jala-Jala
1860,Rizal,Montalban (Rodriguez)
1960,Rizal,Morong
1910,Rizal,Pilillia
1850,Rizal,San Mateo
1980,Rizal,Tanay
1920,Rizal,Taytay
1880,Rizal,Teresa
4900,Marinduque,Boac
4904,Marinduque,Buenavista
4905,Marinduque,Gasan
4901,Marinduque,Maogpog
4902,Marinduque,Sta. Cruz
4903,Marinduque,Torrijos
5108,Mindoro Occidental,Abra,de Ilog
5102,Mindoro Occidental,Calintaan
5111,Mindoro Occidental,Looc
5109,Mindoro Occidental,Lubang
5101,Mindoro Occidental,Magsaysay
5106,Mindoro Occidental,Mamburao
5107,Mindoro Occidental,Palauan
5103,Mindoro Occidental,Rizal
5104,Mindoro Occidental,Sablayan
5100,Mindoro Occidental,San Jose
5105,Mindoro Occidental,Sta. cruz
5110,Mindoro Occidental,Tilik
5201,Mindoro Oriental,Baco
5210,Mindoro Oriental,Bansud
5211,Mindoro Oriental,Bongabon
5214,Mindoro Oriental,Bulalacao
5200,Mindoro Oriental,Calapan
5209,Mindoro Oriental,Gloria
5213,Mindoro Oriental,Mansalay
5204,Mindoro Oriental,Naujan
5208,Mindoro Oriental,Pinamalayan
5206,Mindoro Oriental,Pola
5203,Mindoro Oriental,Puerto Galera
5212,Mindoro Oriental,Roxas
5202,Mindoro Oriental,san teodoro
5207,Mindoro Oriental,Soccorro
5205,Mindoro Oriental,Victoria
5302,Palawan,Aborlan
5320,Palawan,Agutaya
5311,Palawan,Araceli
5307,Palawan,Balabac
5306,Palawan,batazara
5305,Palawan,Brooke's Point
5317,Palawan,Busuanga
5321,Palawan,Cagayancillo
5316,Palawan,Coron
5315,Palawan,culion
5318,Palawan,Cuyo
5310,Palawan,Dumaran
5313,Palawan,El Nido (Baquit)
5301,Palawan,Iwahig Penal Colony
5322,Palawan,Kalayaan
5314,Palawan,Linapacan
5319,Palawan,Magsaysay
5303,Palawan,Narra (Panacan)
5300,Palawan,Puerto Princesa
5304,Palawan,Quezon
5308,Palawan,Roxas
5309,Palawan,San Vicente
5312,Palawan,Taytay
5509,Romblon,Alcantara
5515,Romblon,Banton (Jones)
5512,Romblon,Cajidiocan
5503,Romblon,Calatrava
5516,Romblon,Concepcion
5514,Romblon,Corcuera
5506,Romblon,Ferrol
5502,Romblon,Imelda
5507,Romblon,Looc
5511,Romblon,Magdiwang
5505,Romblon,Odiongan
5500,Romblon,Romblon
5501,Romblon,San Agustin
5504,Romblon,San Andres
5513,Romblon,San fernando
5510,Romblon,San Jose
5508,Romblon,Sta. Fe
4511,Albay,Tabaco
4513,Albay,Tiwi
4608,Camarines Norte,Basud
4607,Camarines Norte,Capalonga
4600,Camarines Norte,Daet
4610,Camarines Norte,Imelda
4606,Camarines Norte,Jose Panganiban
4604,Camarines Norte,Labo
4601,Camarines Norte,Mercedez
4605,Camarines Norte,Paracale
4609,Camarines Norte,San Vicente
4611,Camarines Norte,Sta. Elena
4602,Camarines Norte,Talisay
4612,Camarines Norte,Tulay na Lupa
4603,Camarines Norte,Vinzons
4432,Camarines Sur,Baao
4436,Camarines Sur,Balatan
4435,Camarines Sur,Bato
4404,Camarines Sur,Bombon
4433,Camarines Sur,Buhi
4430,Camarines Sur,Bula
4406,Camarines Sur,Cabusao
4405,Camarines Sur,Calabanga
4401,Camarines Sur,Camaligan
4402,Camarines Sur,Canaman
4429,Camarines Sur,Caramoan
4411,Camarines Sur,Del Gallego
4412,Camarines Sur,Gainza
4428,Camarines Sur,Garchitorena
4422,Camarines Sur,Goa
4431,Camarines Sur,Iriga
4425,Camarines Sur,Lagunoy
4407,Camarines Sur,Libmanan
4409,Camarines Sur,Lupi
4403,Camarines Sur,Magarao
4413,Camarines Sur,Milaor
4414,Camarines Sur,Minalabac
4434,Camarines Sur,Nabua
4400,Camarines Sur,Naga
4419,Camarines Sur,Ocampo
4416,Camarines Sur,Pamplona
4417,Camarines Sur,Pasacao
4418,Camarines Sur,Pili
4424,Camarines Sur,Presentacion
4410,Camarines Sur,Ragay
4421,Camarines Sur,Sagnay
4415,Camarines Sur,San Fernando
4423,Camarines Sur,San Jose
4408,Camarines Sur,Sipocot
4427,Camarines Sur,Siruma
4420,Camarines Sur,Tigaon
4426,Camarines Sur,Tinambac
4807,Catanduanes,Bagamanoc
4803,Catanduanes,Baras
4801,Catanduanes,Bato
4808,Catanduanes,Caramoran
4804,Catanduanes,Gigmoto
4809,Catanduanes,Pandan
4806,Catanduanes,Panganiban
4810,Catanduanes,San Andres
4802,Catanduanes,San Miguel
4805,Catanduanes,Viga
4800,Catanduanes,Virac
5414,Masbate,Aroroy
5413,Masbate,Baleno
5412,Masbate,balud
5415,Masbate,Batuan
5421,Masbate,Buenavista
5405,Masbate,Cataingan
5409,Masbate,Cawayan
5419,Masbate,Claveria
5403,Masbate,Dimasalang
5407,Masbate,Esperanza
5411,Masbate,Mandaon
5400,Masbate,Masbate
5410,Masbate,Milagros
5401,Masbate,Mobo
5418,Masbate,Montreal
5404,Masbate,Palanas
5406,Masbate,Pio V. Corpuz
5408,Masbate,Placer
5416,Masbate,San Fernando
5417,Masbate,San Jacinto
5420,Masbate,San Pascual
5402,Masbate,Uson
4701,Sorsogon,Bacon
4712,Sorsogon,Barcelona
4706,Sorsogon,Bulan
4704,Sorsogon,Bulusan
4702,Sorsogon,Casiguran
4713,Sorsogon,Castilla
4715,Sorsogon,Donsol
4710,Sorsogon,Gubat
4707,Sorsogon,Irosin
4703,Sorsogon,Juban
4705,Sorsogon,Magallanes
4708,Sorsogon,Matnog
4714,Sorsogon,Pilar
4711,Sorsogon,Prieto Diaz
4700,Sorsogon,Sorsogon
4709,Sorsogon,Sta. Magdalena
5616,Aklan,Altavas
5614,Aklan,Balite
5601,Aklan,Banga
5615,Aklan,Batan
5609,Aklan,Buruanga
5613,Aklan,Ibajay
5600,Aklan,Kalibo
5605,Aklan,Lezo
5602,Aklan,Libacao
5603,Aklan,Madalag
5611,Aklan,Makato
5608,Aklan,Malay
5606,Aklan,Malinao
5607,Aklan,Nabas
5610,Aklan,New Washington
5604,Aklan,Numancia
5612,Aklan,Tangalan
5717,Antique,Anini-y
5706,Antique,Barbasa
5701,Antique,Belison
5704,Antique,Bugasong
5711,Antique,Caluya
5708,Antique,Culasi
5715,Antique,Hamtic
5705,Antique,Lawa-an
5710,Antique,Libertad
5712,Antique,Pandan
5702,Antique,Patnongan
5700,Antique,San Jose
5714,Antique,San Remegio
5709,Antique,Sebaste
5713,Antique,Sibalom
5707,Antique,Tibiao
5716,Antique,Tobias Fornier (Dao)
5703,Antique,Valderama
5811,Capiz,Cuartero
5810,Capiz,Dao
5813,Capiz,Dumalag
5812,Capiz,Dumarao
5805,Capiz,Ivisan
5808,Capiz,Jamindan
5809,Capiz,Ma-ayon
5807,Capiz,Mambusao
5801,Capiz,Panay
5815,Capiz,Panitan
5804,Capiz,Pilar
5803,Capiz,Pres. Roxas
5802,Capiz,Puntevendra
5800,Capiz,Roxas
5806,Capiz,Sapian
5816,Capiz,Sigma
5814,Capiz,Tapaz
5044,Guimaras,Sub-Province Buenavista
5045,Guimaras,Sub-Province Jordan
5046,Guimaras,Sub-Province Nueva Valencia
5012,Iloilo,Ajuy
5028,Iloilo,Alimodian
5009,Iloilo,Anilao
5033,Iloilo,Badiangan
5018,Iloilo,Balasan
5010,Iloilo,Banate
5007,Iloilo,Barotac Nuevo
5011,Iloilo,Barotac Viejo
5016,Iloilo,Batad
5041,Iloilo,Bingawan
5031,Iloilo,Cabanatuan
5040,Iloilo,Calinog
5019,Iloilo,Carles
5013,Iloilo,Concepcion
5035,Iloilo,Dingle
5038,Iloilo,Duenas
5006,Iloilo,Dumangas
5017,Iloilo,Estancia
5022,Iloilo,Guimbal
5029,Iloilo,Igbaras
5000,Iloilo,Iloilo
5034,Iloilo,Janiuay
5042,Iloilo,Lambunao
5003,Iloilo,Leganes
5043,Iloilo,Lemery
5026,Iloilo,Leon
5030,Iloilo,Maasin
5023,Iloilo,Miagao
5032,Iloilo,Mina
5005,Iloilo,New Lucena
5020,Iloilo,Oton
5037,Iloilo,Paasi
5001,Iloilo,Pavia
5008,Iloilo,Pototan
5015,Iloilo,San Dionisio
5036,Iloilo,San Enrique
5024,Iloilo,San Joaquin
5025,Iloilo,San Miguel
5039,Iloilo,San Rafael
5002,Iloilo,Santa Barbara
5014,Iloilo,Sara
5021,Iloilo,Tigbauan
5027,Iloilo,Tubungan
5004,Iloilo,Zarraga
6100,Negros Occidental,Bacolod
6101,Negros Occidental,Bago
6107,Negros Occidental,Binalbagan
6121,Negros Occidental,cadiz
6126,Negros Occidental,Calatrava
6110,Negros Occidental,Candoni
6118,Negros Occidental,enrique Magalona
6124,Negros Occidental,Escalante
6108,Negros Occidental,Himamaylan
6106,Negros Occidental,Hinigaran
6114,Negros Occidental,hinoba-an
6109,Negros Occidental,Ilog
6128,Negros Occidental,Isabela
6111,Negros Occidental,Kabangkalan
6112,Negros Occidental,Kauayan
6130,Negros Occidental,La Carlota
6131,Negros Occidental,La Castillana
6120,Negros Occidental,Manapla
6132,Negros Occidental,Moises Padilla
6129,Negros Occidental,Murcia
6123,Negros Occidental,Paraiso (Fabrica)
6105,Negros Occidental,Pontevedra
6102,Negros Occidental,Pulupandan
6122,Negros Occidental,Sagay
6127,Negros Occidental,San carlos
6104,Negros Occidental,San enrique
6116,Negros Occidental,Silay
6117,Negros Occidental,Silay Hawaiian Central
6113,Negros Occidental,Sipalay
6115,Negros Occidental,Talisay
5125,Negros Occidental,Toboso
6103,Negros Occidental,Valladolid
6119,Negros Occidental,Victorias
6302,Bohol,Albuquerque
6314,Bohol,Alicia
6311,Bohol,Anda
6335,Bohol,Antiquera
6301,Bohol,Baclayon
6342,Bohol,Balilihan
6343,Bohol,Batigbi-an
6318,Bohol,Batuan
6326,Bohol,Bien Unido
6317,Bohol,Bilar
6333,Bohol,Buenavista
6328,Bohol,Calape
6312,Bohol,Candijay
6346,Bohol,Carlos P. Garcia (Dao)
6319,Bohol,Carmen
6330,Bohol,Clarin
6337,Bohol,Corella
6341,Bohol,Cortez
6322,Bohol,Daguhoy
6344,Bohol,Danao
6339,Bohol,Dauis
6305,Bohol,Dimiao
6307,Bohol,Garcia Hernandez
6310,Bohol,Guindulman
6332,Bohol,Inabanga
6308,Bohol,Jagna
6334,Bohol,Jetafe
6304,Bohol,Lila
6303,Bohol,Loay
6316,Bohol,Loboc
6327,Bohol,Loon
6313,Bohol,Mabini
6336,Bohol,Maribujoc
6340,Bohol,Panglao
6321,Bohol,Pilar
6331,Bohol,Sagbayan
6345,Bohol,San Isidro
6323,Bohol,San Miguel
6347,Bohol,Sevilla
6320,Bohol,Sierra Bullones
6338,Bohol,Sikatuna
6300,Bohol,Tagbilaran
6325,Bohol,Talibon
6324,Bohol,Trinidad
6329,Bohol,Tubigon
6315,Bohol,Ubay
6306,Bohol,Valencia
6033,Cebu,Alcantara
6023,Cebu,Alcoy
6030,Cebu,Alegria
6040,Cebu,Aloguinsan
6021,Cebu,Argao
6042,Cebu,Asturias
6031,Cebu,Badian
6041,Cebu,Balamban
6052,Cebu,Bantayan
6036,Cebu,Barile
6010,Cebu,Bogo
6024,Cebu,Boljoon
6008,Cebu,Borbon
6019,Cebu,Carcar
6005,Cebu,Carmen
6006,Cebu,Catmon
6000,Cebu,Cebu
6003,Cebu,Compostela
6001,Cebu,Consolacion
6017,Cebu,Cordova
6013,Cebu,Daang-Bantayan
6022,Cebu,Dalaguete
6004,Cebu,Danao
6035,Cebu,Dumanjug
6028,Cebu,Ginatilan
6015,Cebu,Lapu-Lapu
6002,Cebu,Liloan
6016,Cebu,Mactan Airport
6053,Cebu,Madridejos
6029,Cebu,Malabuyoc
6014,Cebu,Mandaue
6012,Cebu,Medellin
6046,Cebu,Minglanilla
6032,Cebu,Moalboal
6037,Cebu,Naga
6025,Cebu,Oslob
6048,Cebu,Pilar
6039,Cebu,Pinamungahan
6049,Cebu,Poro
6034,Cebu,Ronda
6027,Cebu,Sambaon
6018,Cebu,San Fernando
6050,Cebu,San Francisco
6011,Cebu,San Remegio
6047,Cebu,Santa Fe
6026,Cebu,Santander
6020,Cebu,Sibonga
6007,Cebu,Sogod
6009,Cebu,Tabogon
6044,Cebu,Tabuelan
6045,Cebu,Talisay
6038,Cebu,Toledo
6043,Cebu,Tuburan
6051,Cebu,Tudela
6203,Negros Oriental,amlan
6210,Negros Oriental,Ayungon
